value
BA4A_10_H_An_XANES_001_001_fl
BA4A_10_H_An_XANES_004_001_fl
BA4A_10_H_An_XANES_005_001_fl
BA4A_10_H_An_XANES_006_001_fl
BA4A_10_H_An_XANES_007_001_fl
BA4A_10_H_An_XANES_008_001_fl
BA4A_10_H_An_XANES_009_001_fl
BA4A_10_H_An_Xanes_010_001_fl
BA4A_300_H_XANES_005_001_fl
Scal_START_001_001_fl
