* Abscissa points :   75
* Ordinate points :   61
* BLANK LINE
* Data Channels :   16
* Data Labels : I0	I1	S.Ka	Na.Ka	Mg.Ka	Al.Ka	Si.Ka	P.Ka	Cl.Ka	Pn.Ka	ICR	OCR	TIME	I0STRM	I1STRM	LASER	
* Comments: 
* dwell time = 10.0
* 
* 
* BLANK LINE
* Abscissa points requested :
* 2.4331	2.4081	2.3831	2.3581	2.3331	2.3081	2.2831	2.2581	2.2331	2.2081	2.1831	2.1581	2.1331	2.1081	2.0831	2.0581	2.0331	2.0081	1.9831	1.9581	1.9331	1.9081	1.8831	1.8581	1.8331	1.8081	1.7831	1.7581	1.7331	1.7081	1.6831	1.6581	1.6331	1.6081	1.5831	1.5581	1.5331	1.5081	1.4831	1.4581	1.4331	1.4081	1.3831	1.3581	1.3331	1.3081	1.2831	1.2581	1.2331	1.2081	1.1831	1.1581	1.1331	1.1081	1.0831	1.0581	1.0331	1.0081	0.9831	0.9581	0.9331	0.9081	0.8831	0.8581	0.8331	0.8081	0.7831	0.7581	0.7331	0.7081	0.6831	0.6581	0.6331	0.6081	0.5831	
* BLANK LINE
* BLANK LINE
* Ordinate points requested :
* 2.5989	2.6239	2.6489	2.6739	2.6989	2.7239	2.7489	2.7739	2.7989	2.8239	2.8489	2.8739	2.8989	2.9239	2.9489	2.9739	2.9989	3.0239	3.0489	3.0739	3.0989	3.1239	3.1489	3.1739	3.1989	3.2239	3.2489	3.2739	3.2989	3.3239	3.3489	3.3739	3.3989	3.4239	3.4489	3.4739	3.4989	3.5239	3.5489	3.5739	3.5989	3.6239	3.6489	3.6739	3.6989	3.7239	3.7489	3.7739	3.7989	3.8239	3.8489	3.8739	3.8989	3.9239	3.9489	3.9739	3.9989	4.0239	4.0489	4.0739	4.0989	
* BLANK LINE
* BLANK LINE
* Energy points requested: 
*   2485.0
* BLANK LINE
* DATA
2.5989	2.4331	1	1	31785	1106	20077	5530	126229	6240	3367	1031	1583011	1145289	941850628	10	10	10	
2.5989	2.4081	1	1	79	6	50	14	341	23	6	3	3534	2536	2749772	0	0	0	
2.5989	2.3831	1	1	59	6	36	15	305	11	6	4	4594	3014	2688632	0	0	0	
2.5989	2.3581	1	1	81	8	57	18	356	17	15	2	5281	3951	2641164	0	0	0	
2.5989	2.3331	1	1	79	3	69	14	415	21	3	4	4775	3435	2710632	0	0	0	
2.5989	2.3081	1	1	86	3	62	14	390	18	6	4	4226	3006	2756564	0	0	0	
2.5989	2.2831	1	1	64	0	77	15	364	12	3	2	3575	2645	2796228	0	0	0	
2.5989	2.2581	1	1	26	6	62	21	348	19	4	1	5101	3524	2794532	0	0	0	
2.5989	2.2331	1	1	60	4	67	23	411	16	7	1	5667	3942	2835316	0	0	0	
2.5989	2.2081	1	1	81	1	74	15	378	41	15	4	4939	3511	2835896	0	0	0	
2.5989	2.1831	1	1	72	3	68	19	423	22	1	4	4253	3085	2873936	0	0	0	
2.5989	2.1581	1	1	55	3	55	16	405	17	7	1	4016	3020	2858932	0	0	0	
2.5989	2.1331	1	1	66	1	61	20	382	26	8	7	6162	4359	2886412	0	0	0	
2.5989	2.1081	1	1	74	3	72	19	400	26	4	8	5017	3727	2818436	0	0	0	
2.5989	2.0831	1	1	174	5	64	21	376	20	9	1	4680	3448	2871536	0	0	0	
2.5989	2.0581	1	1	63	0	58	12	394	23	5	4	3790	2813	2887796	0	0	0	
2.5989	2.0331	1	1	68	4	79	19	360	16	3	2	5038	3410	2901336	0	0	0	
2.5989	2.0081	1	1	126	5	59	25	366	14	5	4	5599	3935	2852480	0	0	0	
2.5989	1.9831	1	1	107	0	53	16	413	16	3	3	5093	3868	2923492	0	0	0	
